period,start_date,end_date,video_count,total_views,avg_views
2015,2015-01-01,2015-12-31,0,0,0
2016,2016-01-01,2016-12-30,0,0,0
2016,2016-12-31,2017-12-30,0,0,0
2017,2017-12-31,2018-12-30,0,0,0
2018,2018-12-31,2019-12-30,0,0,0
2019,2019-12-31,2020-12-29,0,0,0
2020,2020-12-30,2021-12-29,0,0,0
2021,2021-12-30,2022-12-29,0,0,0
2022,2022-12-30,2023-12-29,0,0,0
2023,2023-12-30,2024-12-28,0,0,0
2024,2024-12-29,2025-12-28,0,0,0
2025,2025-12-29,2025-12-31,0,0,0
