period,start_date,end_date,paper_count
2018,2018-01-01,2018-12-31,0
2019,2019-01-01,2019-12-31,0
2020,2020-01-01,2020-12-30,0
2020,2020-12-31,2021-12-30,0
2021,2021-12-31,2022-12-30,0
2022,2022-12-31,2023-12-30,0
2023,2023-12-31,2024-12-29,0
2024,2024-12-30,2025-12-29,500
2025,2025-12-30,2025-12-31,0
