period,start_date,end_date,grant_count,total_amount_usd,avg_amount_usd,institutions
2018,2018-01-01,2018-12-31,500,280556848.0,561113.696,186
2019,2019-01-01,2019-12-31,500,321869586.0,643739.172,185
2020,2020-01-01,2020-12-31,500,530521136.0,1061042.272,193
2021,2021-01-01,2021-12-31,500,633653774.0,1267307.548,201
2022,2022-01-01,2022-12-31,500,357054542.0,714109.084,189
2023,2023-01-01,2023-12-31,500,384097905.0,768195.81,220
2024,2024-01-01,2024-12-31,500,302810256.0,605620.512,229
2025,2025-01-01,2025-12-31,500,339825478.0,679650.956,232
